"V1","V2"
-14544,-16800
-15965,-15968
360,-5193
254,-20374
-1373,-1376
-20586,-22601
-981,-983
-2260,-2262
-5240,-5326
-6140,-6151
158,-162
-15067,-15070
224,-12703
-4660,-17246
417,-1382
369,-3671
-21385,-21388
-12330,-12331
181,-3889
-3767,-3770
4,-4518
-11703,-11706
330,-13987
358,-6966
137,-21549
-4604,-4605
-16414,-29032
45,-2550
-14965,-19388
-1425,-1473
-2733,-6981
-23094,-23095
-47,-55
-15842,-17770
-28003,-28004
-17732,-17734
-6776,-6777
128,-2837
455,-1389
-2172,-6153
-1909,-1912
-23363,-32838
-16149,-16152
-11842,-11850
-1406,-19237
-502,-560
206,-25585
125,-19806
-5836,-16853
-394,-395
223,-8151
-5150,-5154
-13254,-13260
104,-22498
291,-14031
-10494,-17034
304,-7805
-10128,-10132
308,-30253
416,-18197
374,-3581
-9480,-16466
240,-17859
-2715,-22701
301,-4654
423,-17122
245,-22047
430,-5965
-3666,-3687
-9142,-15187
80,-30246
299,-14139
65,-7179
253,-8930
-10472,-10473
400,-6562
445,-1379
456,-3708
250,-16936
184,-4329
241,-19570
-18886,-18890
-6622,-6633
351,-11281
259,-8980
-4485,-4495
356,-29354
438,-22955
-4572,-4574
-3355,-3367
-14661,-16258
-9171,-9174
-15572,-26191
-6717,-22798
-27381,-27386
-4114,-4119
-15641,-15645
263,-24896
464,-6968
329,-23763
-1202,-16186
346,-26588
-12221,-12225
-3099,-3101
265,-17189
227,-5822
-13539,-29269
282,-31648
-594,-599
-19181,-28381
397,-16014
283,-8311
332,-18460
-1949,-1950
337,-2560
195,-15990
345,-19044
-7658,-14093
446,-22593
394,-14775
185,-17769
-18124,-18125
-20060,-20075
472,-22560
-6558,-17431
479,-1391
493,-13258
370,-4460
523,-6597
508,-13651
55,-29912
231,-4186
500,-18203
284,210
209,-20428
111,-6763
-2243,-4685
439,-3205
-4545,-4547
170,-4925
-2087,-2088
122,-19303
-3073,-17524
-9948,-9950
316,-181
264,-1078
-8656,-8702
-5802,-5808
-6546,-15798
-29778,-30555
-2719,-2730
-11020,-16663
-28652,-28654
502,-16424
-778,-793
589,-15797
497,-7821
384,-3604
390,-777
-8773,-8777
25,-9851
364,-1093
-18900,-18902
-4491,-4502
-2989,-6575
-5793,-5795
92,-2633
415,-5619
522,-18887
459,-3879
-1681,-31582
325,-5608
483,-16158
-11137,-11852
516,-6565
429,-16214
473,-44
570,-10772
-3580,-3586
-3182,-3183
547,-29803
2,-9989
436,-4793
362,-19867
73,-19922
-9415,-9439
505,-20171
109,-852
297,-1645
359,-14621
-6401,-6405
-21681,-21682
-2108,-2782
566,-1388
603,-18904
208,-18161
-4292,-4306
386,-6008
-21773,-21775
-8120,-8124
-11457,-11461
517,-1374
234,199
-1627,-1628
-12729,-16926
-10934,-15374
286,-18406
-701,-708
495,-14041
433,-21943
347,-921
-7021,-7022
501,-3600
454,-17247
573,-18195
419,-4553
-117,-4652
387,-17815
-5673,-5713
424,-30023
124,-17932
-6687,-14808
67,-13679
-7484,-15684
492,-14996
-11696,-11698
281,-18590
289,-20344
597,-7806
101,-18462
-21706,-21711
392,-5075
232,-14305
533,-3937
290,-18139
149,-9147
503,-17857
-1199,-16185
596,-15799
-88,-16551
515,-10469
447,-973
393,-5589
-8645,-8693
534,389
-13983,-13984
-4619,-4620
379,-22367
354,-2252
462,-11715
236,-15301
-391,-392
442,-15960
146,-29831
458,-12332
-11511,-11514
460,-3763
-3798,-5761
-3807,-24242
-25763,-29970
-5967,-5968
411,-6881
-8965,-18912
348,-20177
-19322,-22026
-9736,-9837
440,-5992
276,-10201
540,-23764
-527,-542
644,-5091
176,-11019
-4489,-4501
214,-6435
556,-11607
-2094,-2100
-11811,-11817
-4577,-22802
504,-2701
520,-29984
512,-14134
-4343,-27208
-2436,-2440
83,-2643
66,-12107
-10276,-10298
271,-6794
-9,-16
175,-1468
532,311
599,-766
527,-29361
-2467,-14667
594,-16470
608,-5622
200,-18554
203,-13625
559,-22595
398,-15942
-10244,-26988
-11270,-11271
-29156,-29158
525,-22002
669,-7816
-1794,-1838
649,-14010
604,-4508
-1800,-11148
-11165,-11166
521,-19575
507,-22048
499,-30252
-608,-618
-1309,-14400
545,-22777
519,-31086
509,-3714
-2803,-2804
377,-26667
-4805,-19301
425,-13372
586,-1076
-3808,-15030
602,-1090
402,-34321
679,-8222
-22102,-22103
451,-155
-6286,-6314
448,-2266
-26,-4763
-14903,-14910
300,-22409
307,-23971
541,-1174
-19551,-19555
352,-1490
135,-8570
167,-18645
-6112,-23305
674,-31499
506,-33084
-1314,-8143
465,-19992
-5607,-8588
-11743,-11753
580,-4924
293,-13661
-817,-846
-19558,-25008
-637,-4564
577,-4686
648,-683
383,-2994
61,-3272
-1064,-1065
-9482,-17723
196,-5809
-880,-883
119,-6419
-10808,-10810
163,-9944
272,-3816
677,-28560
780,-23307
553,-18786
-19772,-21075
-9286,-28949
-25381,-25385
-3546,-3548
-4456,-4461
-1612,-1613
327,-15390
90,-3308
-1983,-9606
585,-183
-1111,-18518
-8414,-8421
766,-15800
-13547,-13555
682,260
194,-23431
491,-29539
-1464,-18503
-7732,-14677
720,-29986
421,-19898
-7800,-7819
579,-4550
79,-15135
-10509,-22931
621,-20459
470,-1104
450,-6142
217,-7123
-9502,-10522
-15089,-15090
587,-8677
-7030,-7033
482,-30563
478,-31357
437,-16200
-4665,-4672
344,-19946
721,-14143
706,-9836
-19425,-19429
-9049,-9056
742,-29160
-9210,-16791
747,-4493
-3118,-3120
-3078,-10150
-5752,-15342
-17055,-18877
598,-3608
-2009,-2930
668,-20345
610,-3888
690,-11705
385,-9280
20,-70
-13009,-16708
510,-7866
-8921,-8923
320,-2186
567,-13263
295,-27927
-4169,-4170
-30067,-30071
755,-17192
-27138,-27139
-1214,-23359
582,-21728
563,-20063
651,-920
298,-8975
-7599,-7622
595,-782
-15611,-15621
-5085,-5086
713,-4486
107,-4337
380,-5123
-16766,-16776
378,-10600
323,-24693
749,-1446
-2155,-2171
-937,-3141
-5979,-5982
731,-772
-8281,-16427
-1109,-1112
546,-6266
-24139,-25463
772,-5003
872,722
99,-15716
366,-15454
683,-2529
183,-26106
662,-6677
-7509,-7512
708,-10197
535,-28183
781,-20809
709,-23769
711,-1637
474,350
656,-4570
435,-4469
-22683,-22685
593,-28651
732,-29355
572,-4187
368,-17852
221,-10409
-15760,-15761
531,-16261
562,-18127
-1283,-1287
750,-19572
744,-7804
-2240,-27166
-3122,-3143
222,-13199
-10542,-14959
-7120,-7127
714,-6423
257,-6644
558,-18677
564,-23104
270,-26653
635,-18898
-2374,-3839
434,-17109
561,410
403,-7061
716,-2101
169,-3306
-19981,-19982
829,-4551
715,-15988
-8320,-11980
738,-22600
486,-522
275,-4141
-15365,-15367
616,-16211
-20202,-27613
188,-15548
548,-1674
-7320,-7326
-2247,-2248
753,-612
-3215,-3228
443,-1166
-2667,-2668
792,-4687
-19729,-21901
581,-2091
-15810,-15818
-1395,-1398
670,-25899
625,-19923
326,-19219
466,-4609
-5281,-11885
151,-9408
856,-3611
609,-18884
697,-3760
-11425,-30380
-13298,-13299
-6748,-14185
811,-4462
909,-5088
557,-19047
-2635,-2637
391,-2834
-7458,-7471
628,-831
-23700,-25992
418,-22390
-7462,-8248
-23298,-23300
860,-11695
660,-1363
-20731,-20733
-24677,-29008
-1902,-10371
838,-8673
513,-20199
754,-14416
-13224,-15710
896,-25472
-21812,-26328
-9997,-10006
554,-19078
793,-8515
-12279,-20684
765,-34322
-17709,-17710
924,-7809
751,-22042
705,-19317
278,-1761
-15536,-15538
-7850,-17365
840,-33338
235,-7855
302,-3189
913,-22679
484,-11838
273,-23779
728,-10
372,-23061
-1178,-1185
-23657,-23661
752,-30256
606,-5811
871,-17193
746,-14038
477,-6773
617,-40
-65,-4139
550,-25271
-16893,-16897
118,-11840
280,-3049
198,-3430
936,-3845
846,-9838
783,-8226
-13138,-13139
698,-5758
686,-13985
824,-18502
944,-11608
431,-16763
897,-6337
630,-29956
832,-29801
-18351,-18352
322,-16452
-2272,-2273
287,-72
806,-18787
-2000,-2940
689,-2270
205,-3705
-9276,-9277
469,-19386
844,-19964
-5817,-21819
-1672,-10488
-15956,-15958
571,-13543
-11843,-22485
-12094,-12101
-1638,-1640
876,-933
988,-11697
-23059,-26284
693,-15973
1014,-22690
954,-7328
911,-4566
420,-6471
-13510,-13511
-14301,-14302
775,-1278
-8279,-19743
-11140,-11141
318,-14731
671,-21691
655,-18219
-32555,-32565
657,-4662
727,-3380
915,767
365,-16804
-10025,-16170
784,-21546
-3087,-17519
903,-6678
898,-4340
401,-5854
975,-13294
524,-24940
313,-3117
94,-2907
849,-29165
427,-11848
191,-8589
-10204,-10209
-8581,-13110
530,-3415
-17913,-19399
-4602,-5770
-15912,-15913
718,-22803
-3417,-3444
-1405,-19236
735,-5618
1005,-7830
702,-16502
127,-20156
842,-16195
333,-16694
485,-19235
745,-1855
171,-387
252,-3241
591,-3566
89,-19803
882,-4507
426,-9322
-5750,-28324
906,-27385
762,-1079
1064,-11713
782,-17123
-17010,-20161
831,-22933
704,-20178
363,-30072
-8674,-8683
-3,-6
-24678,-24680
-9959,-9969
821,-949
826,-4333
-4155,-4162
-20540,-21464
-10005,-10015
919,-15757
786,-11767
246,-24415
978,-1629
1040,-10551
428,-8182
342,-13842
638,-6021
274,-410
-22893,-24529
937,-17113
-4152,-20538
487,-10127
613,-16147
-5690,-5693
-3799,-3803
373,-894
-4775,-4779
-22294,-22295
-12227,-12243
1034,-9835
-13373,-28293
-21770,-21771
770,-2263
859,-3045
355,-22850
665,-5155
921,-18128
588,-5797
-20618,-20624
-6404,-6410
243,-1625
1086,-17517
476,-17731
-16907,-16908
1018,-23097
956,-617
-16390,-31291
1090,-13296
1063,-936
543,-12234
836,-12386
72,-103
934,-23129
-13568,-13570
166,-17993
1078,-18210
847,-19426
1107,-7815
932,-14092
-6364,-6367
396,-2623
902,-26110
526,-4499
700,-25771
132,-10756
-18905,-18910
444,-5025
845,-25189
-8536,-13990
777,-18522
-4463,-4464
809,-7788
642,-1380
-12547,-23484
568,-3627
349,262
-4818,-4820
-1394,-8165
269,-4195
560,-30606
719,-16701
972,-18888
802,-13217
855,-18879
623,-4789
661,-17924
658,-7523
643,-15340
1050,-2934
-15591,-15596
1020,-23662
-11496,-18298
449,-5227
736,-18555
1168,-6412
-10916,-10942
870,-30070
1170,-17520
1141,-1634
-6368,-6372
710,-531
-2008,-2936
233,212
-4678,-4680
-11505,-11523
759,-5040
768,-158
639,-18464
-6366,-6369
1038,-14589
-21642,-21652
998,-21811
-28609,-29777
468,-2555
764,-1089
769,-6319
834,-6146
-21561,-21570
-13392,-13421
612,-8991
1013,-3199
763,-15034
-464,-466
1136,-9945
986,-8250
-16768,-16774
-9123,-9124
382,-25723
-6027,-6028
584,-11857
-8714,-10411
946,-767
1184,-18217
-16268,-16269
-1338,-1347
-388,-3721
-6451,-17886
880,-15622
681,-10470
1022,-5806
1001,-682
413,-79
-25510,-25512
376,-12103
-8107,-8117
-6796,-18875
724,-2648
565,-32133
601,-12306
633,-2781
830,-15141
966,-19921
886,-10596
-27974,-29967
-3805,-6331
904,-7513
197,-13767
-818,-824
650,-21944
820,-13554
607,-29890
968,-4611
740,-10233
-16528,-16538
590,-17876
-14126,-14127
696,-11486
-4913,-7096
-16317,-16318
-6882,-25326
1238,-14585
239,93
950,-16234
204,-11152
-11776,-11781
653,-3588
-4374,-4428
1108,-15323
1196,-14135
-17714,-18182
666,-11699
-28820,-28821
907,-26180
-329,-350
1133,-952
800,-1295
600,-8775
226,-18949
948,-18566
-18198,-18218
-11726,-19295
905,-10192
1091,-11288
1156,-22301
729,-1536
963,-15805
717,-11812
675,-18135
-21677,-21678
514,-8927
-11841,-17016
1187,-14094
542,-24200
1124,-33083
743,-22000
1049,-18461
-16875,-16878
-16342,-17892
441,-14546
1123,-11716
538,-14584
985,-22388
890,-3134
1073,678
1237,-6362
935,-18899
-11771,-25704
645,-12721
1186,-7822
1069,-8492
-29218,-29433
1147,-22889
1265,-17887
1068,-7319
1027,-4140
-436,-4128
-14822,-15444
-7108,-7113
-3299,-19008
-17142,-18989
1152,-5715
881,408
818,-10125
789,-857
-15,-17
1079,-32566
-9776,-9791
-14261,-14263
-7006,-21838
614,-11839
211,-11118
858,-20351
1322,-22299
737,-13620
-15498,-15500
833,-1105
1045,-18345
1113,-1869
457,-21390
388,-2686
779,-18640
-1647,-1650
808,-9287
652,-7024
-20637,-22839
-1353,-12989
-3507,-8716
-2883,-2890
1269,-662
852,-3111
993,-8666
1109,-20150
1210,-18889
798,-5810
1025,-6779
1082,-29362
1011,-33336
-29959,-33175
-11479,-11485
277,-16695
575,-20433
641,-11459
865,-8919
-1183,-1236
230,-6261
1166,-5804
1066,-15969
-4571,-6459
414,-20882
957,-3227
1173,-23092
1072,-14300
964,-1396
888,-1454
-1442,-1451
1139,-6374
-7038,-7043
-11774,-13407
-7192,-7194
1101,-11600
1150,-18559
1246,923
-4959,-20640
1192,-25766
-1430,-1467
1234,-5043
1080,-4658
-8778,-21543
-33,-37
76,-27488
760,-19298
1227,-1622
576,-6761
1085,-21547
237,-15264
1148,-21630
1240,-26361
-15736,-16545
1224,467
1226,-5447
33,-18415
1338,-11701
895,-6264
730,-9168
1134,-28960
1006,-22043
1039,-1677
1245,-6148
1218,-15579
1095,-29036
757,-3683
973,-3761
962,-2089
-16669,-23468
-19942,-19971
1330,-18678
-3872,-9389
1081,-3414
917,-17843
983,-863
1235,-18965
1029,-16887
537,-15664
867,-13256
-12229,-12232
676,-9148
868,-31097
979,-19190
461,-4517
1054,-19385
-693,-8488
1266,-15617
-5069,-12360
884,-5124
-334,-344
688,-22411
306,-16992
1261,-18194
395,-7721
-3873,-3874
-18493,-18494
-22637,-22666
1260,-22598
1142,-11606
776,-19552
901,-2535
1083,-16806
1181,-26655
-1437,-1455
334,-2646
1137,-9998
-5815,-15343
-25557,-25558
1359,-5696
1325,-11813
-10892,-10895
930,-22673
1271,-25509
1118,851
-15836,-23398
1174,-613
-26546,-29096
-9231,-12417
899,-16497
1051,-2264
965,-18467
629,-13073
1375,-18338
238,-4148
883,-4357
953,-31650
739,-9803
331,-23570
-15926,-23660
255,-18776
-10632,-10653
945,-11936
-68,-6324
-5031,-5032
627,-4271
994,-20201
-6897,-6900
-2173,-6552
939,-7065
885,-16778
1324,-15807
1096,-8591
928,-14962
1044,-13542
1454,-14098
1299,-4597
-165,-16830
1008,-1768
1241,-29779
1425,-4656
951,-32106
980,-2642
-3644,-17991
857,-2003
-2331,-5128
785,-5610
1409,-23091
-1666,-7703
-2856,-2859
-3064,-3072
1158,-23601
-1441,-1478
1447,-15589
-11143,-17222
1304,-3579
1201,-1375
1529,-12412
626,-9419
1094,984
1281,-10594
1103,-5654
1291,-26991
1162,-3047
1163,-8283
-7707,-7710
1229,-541
-19403,-19407
-9739,-9741
1179,-13487
-4284,-4305
1512,1219
328,-23147
-6270,-21783
-19312,-19325
-21275,-24456
-19916,-22362
452,-14205
-4182,-28036
-5575,-5576
1151,-16146
1077,-30337
1418,-11601
843,-4670
971,-3615
432,-21889
539,-9152
-3624,-12747
1430,-1624
1363,-10807
1182,-13597
663,-29667
-1526,-2454
-31187,-31358
-2841,-2845
1424,-5041
-13730,-13739
1000,-12320
816,-17515
74,-5321
-8144,-26202
1195,-20362
1311,-31501
1115,-14596
685,-24325
1099,-19915
-268,-282
804,-28559
-10094,-16902
-2806,-2807
-3207,-3208
1105,-1401
841,-2839
-29587,-29589
-5222,-5283
-16813,-16814
866,-29905
1253,-8252
-8150,-8154
1498,827
1343,1228
-27969,-27970
1112,-21787
-14767,-14769
992,-1903
496,-19562
1484,-2522
1395,-30564
1189,-2627
1374,-1094
-28696,-31165
-7501,-7506
1161,-2261
-2855,-2861
1301,-16240
1313,-972
-13295,-13297
1318,-19410
910,-17776
961,-23665
1225,-34607
1331,-29978
-9324,-19985
-6712,-6714
-6684,-14798
-8161,-8170
-7853,-9162
1320,-10198
863,-16707
1305,-4373
-17595,-17597
412,-6846
1138,-15756
1521,-2165
1434,-17117
1404,-5798
-3279,-3282
-5623,-5624
622,-9988
409,-17846
990,-77
1524,-15814
-10915,-28987
1287,-21945
1429,-19300
-3526,-3527
551,-17420
-2321,-2363
-16678,-16683
1558,-7711
1254,-16761
-8009,-8013
947,-529
1233,-28222
1295,-11507
-6617,-6632
1250,-3809
315,-33010
-19077,-20984
-9774,-9806
707,-5989
848,-9080
-423,-10726
-3755,-6262
989,-28034
1157,-12220
-2158,-2164
861,-27474
-2731,-6328
-12710,-12711
-390,-13010
-1292,-17330
1387,-646
1203,-4459
1474,-17509
-4331,-16250
1462,-13265
914,-30045
-8064,-8075
-6623,-6638
664,-7482
1481,-22603
1171,-20051
1388,-3116
-8949,-26657
927,-11326
1258,-9947
1057,-10476
-1346,-7124
748,-11149
1612,-23400
1532,-29776
1469,-399
1487,-1445
787,-14495
1248,-19179
-9183,-9191
-15130,-15139
1251,-456
-20658,-23344
912,-8603
1401,-16283
1633,-30069
853,-16375
529,-4573
-9433,-9462
1703,-23399
1032,-931
1323,-23499
1444,-6778
1504,-18463
1503,-2268
-9593,-33115
605,-2995
1120,-5747
1552,-29171
-13155,-19777
1376,-1880
1470,-15609
1310,-31052
-8213,-8216
1562,-10520
1449,-3680
-4764,-4765
-8559,-8564
1533,-4659
1223,-6407
1556,-3882
1458,-860
692,-393
317,-17012
996,-8140
1506,-18353
850,-16790
1370,-18958
1015,-11836
-11292,-11339
-16832,-16840
1288,-9938
1440,-11710
1382,-7031
1352,-7324
-13866,-13879
1308,-10304
-8785,-8788
-7840,-7841
1111,-16692
807,-21087
970,-18867
969,-5263
1647,-17119
1159,-16654
618,-5966
1435,-21818
1618,1126
-1313,-1315
-6842,-10782
-22400,-22401
-5002,-5017
-16968,-16974
1715,-34608
-2007,-2929
-29469,-29480
-5577,-11553
-8962,-13922
1678,-12215
-5469,-5495
-217,-313
-4827,-9763
555,-16126
-19925,-23166
1043,-23207
1640,-10195
-2702,-2710
1350,-22892
1070,-2986
615,-24699
1340,-22383
1345,-25697
-4278,-4300
1438,-17516
1329,-17022
741,-11272
1572,-5574
918,-22764
-2320,-2324
667,-18584
-487,-12934
-16635,-18909
-12612,-12614
1242,-2549
549,-592
-8339,-12264
1446,-6155
931,-16271
-7135,-7138
1205,-4817
1153,-3794
1664,-8027
-17440,-17471
-5374,-27469
-131,-6462
-12207,-12208
-2221,-4823
-6104,-6111
1479,-18495
942,-19986
-7843,-14587
1548,-3583
640,-8102
-11142,-12466
-1460,-1507
1457,-24605
1402,-1206
1208,-23607
873,-14433
1536,1183
1432,-13549
1745,-18337
1734,-13489
-3437,-3438
894,-1436
1140,-16382
987,-23301
712,-11021
1590,-8028
-14169,-14183
1231,-16257
773,-7070
646,-29331
958,-5203
-10581,-10584
-2069,-12284
1731,-15623
960,-4690
1582,-18496
1520,-6899
1372,-13634
-17492,-26634
1191,-4482
1573,-16157
1306,-16501
1344,-17243
-10713,-17352
1075,-12462
1356,-11561
1752,-11711
799,-881
1806,-6141
592,-11016
1144,-5209
1623,-28697
1724,-2267
-23831,-29916
1445,-18505
891,-5978
-9343,-15735
-2677,-14439
-9192,-15307
1212,-8787
-17894,-17895
-7095,-13474
1116,-2728
1691,-8076
-454,-25725
922,-21094
-11573,-13933
637,-16449
-18178,-18179
1089,-4956
672,381
-18827,-18865
1175,-31277
1730,-1820
1610,-8249
-26114,-26331
1009,-15542
-14393,-14408
734,-16433
1259,-10414
1397,-9200
528,-22959
1628,-970
-11734,-11761
-4255,-4270
-12976,-12988
1290,-4606
1284,-7517
1437,-10919
-3346,-3353
-5196,-5199
1588,-5044
-2516,-17213
1347,-7823
1719,-19900
955,-2249
1554,-5662
1285,-16273
-3248,-3267
-19184,-27532
1604,-1403
1480,-22664
-7288,-7290
771,-4752
1763,-17112
1185,-22490
-1116,-1118
-635,-7130
1464,-9143
1497,-4488
-917,-918
-19681,-19786
-17150,-17164
-22096,-22098
1550,-14592
1488,1275
1663,-16773
892,-775
691,-15304
-14262,-21408
